original_query,changed_query
"보이스피싱수거책 형량은?알바앱에서 현금전달하는 알바를 제안받고 2일간 3명에게서 총2000만원정도 현금받아 전달하는 일을 했습니다. 처음엔 채무자들의 채무액을 경감해주기위해 세금면제를위한 편법으로 현금을 받는것이며 채무자들도 합의하여 하는 것이므로 보이스피싱같은 범죄가 아니다라는 그 채권추심회사의 팀장이란 사람한테 얘기듣고 그렇게 하는것도 있나보다 생각했습니다. 최근 채권추심회사에서 채무자에게 이자탕감해준다며 원금도 깍아주며 상환을 요구하는 경우가 있다고해서 그런 추심방법의 일환이라 생각했습니다. 하지만 막상 시키는대로 어디가서 누구에게 현금받고 어떻게 전달하라는 지시를 받다보니 의심이 생기기시작했습니다. 당장 생계비가 필요한 지경이어서 불법이 아니길 바랬지만 의심은 커져가서 첫째날 두건, 다음날 한건하고 불안하고 의심스러워 못하겠다하고 그만두었습니다.근데 얼마전 경찰관이 집에 찾아왔습니다.보이스피싱수거책혐의가 있으니 조사 받으라는겁니다.피해자 한사람이 고소하여 수사가 시작된듯한데 성실하게 조사받고 잏는 그대로 진술하고 휴대폰도 포렌식한다해서 제출하였습니다. 그리고 피해자와 통화해 피해금액 전액 송금해주기로 합의보았습니다. 나머지 두건은 피해자가 특정되지않아 합의를 보지못했습니다. 하지만 피해자가 나타나면 적극적으로 피해구제를 위해 합의에 임할것이라 진술했습니다. 형량이 어느정도 나올까요?","보이스피싱 관련 법적 조치를 받은 경우, 어떤 결과가 나올까요?"
여자친구와3년간 사귀며 금전거래가 있었던건 사실이지만저의 지인들과 친구들 가족들에게 그사실을 알리며 갚으라고 말하며저와 최초 이야기했던것과 다르게 발설을 하고다녔으며금전거래가 있는 지인에게는 그이자가 불법이라서 ㅇㅇ이가 돈 안갚고고소하려고 한다면서 연락을 하는등 일상생활에 상당한 스트레스를 받고 있습니다.지내면서 일을 못할때 용돈도주고 생활비 월세 기타등등 제가 다 부담하였구요안좋게 헤어졌어도 깔끔하게 끝내고싶기에 그건  달마다 일정금액을  변제하기로 의사를 밝혓고마무리 되었는데 제가 일하다 사고로 인해 3개월가량 일을 반 강제로 쉬게되고오토바이 리스비가 하루에 4만원씩 나가면서 쭉 -가 누적된상태였구요그래서 이건 내가 합의금이나 정상으로 돌아와서 일을 할수있을때까지기다려달라했는데 일을 안하는지 월세낼 돈도없다면서 여기저기에 말을 하고다닙니다.혹시 이런걸로 불법추심이나 명예훼손에 해당하는지 알고싶습니다.진흙탕 싸움까지 하려고 생각중이구요 민사 걸으라하고 저도 걸려고하여조금 알고싶어 질문합니다!,"여자친구와 금전거래 관련 문제로 심리적 어려움을 겪고 있습니다. 이 상황이 불법추심이나 명예훼손에 해당하는지 알고 싶습니다. 법적 대응을 고려 중인데, 이에 대해 어떻게 해야 할지 조언을 구합니다."
안녕하세요.제가 저번주 목요일에 대출을 해주겠다고 하면 주식면목으로 대출을 받아야 하니 주식한 거래가 있어야 대출이 된다고 해서 제통장으로 돈을 입금하고 저는 그걸 주식으로 환전해 주었습니다.두번을 그러고 그 다음날 제통장이 지급정지가 돼고 대포통장이 돼어서 이걸 해결 하고 싶은데 어떻게 해야 할지 몰라 글을 남깁니다.도와주세요 ㅠ,안녕하세요. 통장의 지급정지 문제를 해결하는 방법에 대해 조언을 얻고 싶습니다. 어떻게 해야 할까요?
"개인대출이 불법인가요???? 급하게 돈이 필요해서 대출나라 같은곳에서 문의해서 빌렸는데 그게 너무 늘어나는바람에 제가 20/40 20/40 20/40 40/70 50/90 이렇게 빌렸는데요,,,,, 아무래도 갚을 능력이 없어서,,,, 20/40짜리 3군데를 계속 하루씩 연장만 하고 있어요 하루연장이 5만원인데 연장비만 거의 100정도 들어간거 같은데,,,,, 이미 상환금액을 전부 초과했는데 납부 안해도 되지 않나요????...... 납부 안하면 부모님이랑 지인 회사에 연락해서 추심하겠다고 하는데 너무 무서워서 연장비라도 빌려서 납부 하고는 있는데요,,,,,, 방법이 없을까요??? 그냥 경찰서에 가서 제가 개인대출을 빌렸는데 상환을 못할거 같다고 하면 저 잡혀가나요????....... 방법이 없을까요??? 신불자라서 은행권도 대출이 안되고,,,,, 월변으로 돌리고 싶어도 이미 개인돈을 쓰고 있어서 월변으로는 안된다고 하고,,,,,, 방법 좀 알려주세요,,,,,, 다른사람들한테 연락 가게 하고 싶지는 않아요,,,,,, 신용점수는 311점이라 장기연체중이에요,,,, 개인회생 하고 있었는데 몇일전에 기각 되었다고 연락이 와서요,,,,,, 대출금도 다시 구해야하는데,,,,,,, 경찰서 가는게 답일까요,,,,, 그냥 잡혀 들어가는게,,,,,",개인 대출 문제를 해결할 방법이나 지원을 어디서 받을 수 있을까요?
보이스피싱 현금수거책 관련해서 제가 피의자로 조사받게 되었는데 피해액은 1억원 조금 넘습니다... 변호사분들의 조언 말고도 경험자분들의 조언을 듣고 싶습니다 저희 집  사정이 마땅히 좋지 않아 변호사 선임이 많이 어려워서 여쭤봅니다 저 실형 받나요?...그리고 변호사 선임하자고 하니 저희 어머님이 검찰에 먼저 전화해서 변호사 선임은 해야 하는지 여쭤보신다는데 전화를 검사분에게 연결시켜 드리는게 맞을까요??..,"변호사 선임이 어려운 상황에서 보이스피싱 관련 조사를 받게 되었는데, 경험자분들의 조언을 구하고 싶습니다. 어떻게 대처하면 좋을까요?"
"보이스피싱송금책으로 현재 검찰에서 조사받고 있습니다.간단한 아르바이트라고 생각하고 했던일인데...회사내 돈을 그냥 전달만 해주면 된다고 해서 돈도 꽤나 쏠쏠해서 했던게 화를 불러온거 같습니다.지금 집은 저때문에 난리도 아니고 죄송해서 어떻게 해야 될지 전혀 가늠이 안갑니다.보이스피싱인거 아예 몰랐고 그렇다고 해서 돈을 제가 가진것도 아닌데,,,보이스피싱합의 진행하게되면 결과가 달라질까요?처벌을 안받고 보이스피싱집행유예 가능할까요?","보이스피싱 사건에 연루되어 조사를 받고 있습니다. 이 상황에서 법적 대처 방법은 무엇이며, 처벌을 피할 수 있는 가능성이 있을까요?"
해당 사업자 명의가 실제로 있는 것 같습니다. 제 생각에는 이분도 도용당한 것 같은데 저는 돈 찾는게 급해서요... 해당 사업주한테 일단 소송을 걸어야하나요,해당 사업주에게 먼저 법적인 조치를 취해야 하나요?
보이스피싱 전달책 혐의 경찰조사를 받았습니다..그런데 경찰에서 제가 보이스피싱인지 모르고 했다는 것을 믿어주지 않습니다..저는 보이스피싱인지 모르고 했는데 처벌받아야 하나요?어떻게 해야하는지 모르겠습니다...그리고 보이스피싱 전달책으로 처벌이 되면 실형이 나오나요?어떻게 해야할까요?,질문: 보이스피싱 사건에 연루될 경우 어떤 대처 방법이 있을까요?
현재 직장에서 6년째 근무중이고 나이는30이고작년 연말정산 3500정도 나오고요기대출이 좀 많습니다 진짜 되는곳이나 되는분만좀 연락주셨으면 합니다.너무힘들어서 몇일째 잠도 못자고있습니다..성실하게 값을거고요기대출5천에 사금융에 1500정도 있습니다..보증인도 끼고있고요더이상되는곳 없는거잘알고있습니다..사는곳은 울산이고 진짜 되는곳만좀 말씀부탁드릴게요성실히 답변다드릴수있고요정말 힘듭니다..불법대출이라도받고싶은심정입니다..진심으로 쓰는글인만큼정말 울고싶습니다.. 진심입니다..글남겨주시면 바로연락드리겠습니다,"현재 울산에 거주 중이며, 재정 상황에 맞는 합법적인 대출 상담을 받고 싶습니다. 도움이 될 수 있는 곳을 알고 계신다면 추천 부탁드립니다. 감사합니다."
"안녕하세요.제가 불법사금융 통장대여로 고소하였는데,이중 대다수가 이미 그전에 처벌이 되었다는 답변을 받았는데요. 민사소송을 위해서, 수사결과보고서를 정보공개청구하여, 받았는데 이름, 계좌번호, 경찰서, 사건번호 다 지워져서 공개하였습니다.해당 수사관도 안알려준다하고...제가 이들이 어디서 처벌받았는지를 알 수 있는 방법이 무엇인가요?","안녕하세요. 민사소송을 준비 중인데, 관련 정보를 얻기 위한 방법이 있을까요?"
